Average,BestPic_Gross,Best_Picture,DirectorName,No_Of_Movies,Total_Gross,_id
3000000.0,7500000.0,Cyrus,Mark Duplass,4,11900000.0,5cbf57e7f1b3f84eb09ba4e0
10400000.0,19900000.0,The Apostle,Robert Duvall,2,20900000.0,5cbf57e7f1b3f84eb09ba4e1
38200000.0,100500000.0,A Wrinkle in Time,Ava DuVernay,4,152900000.0,5cbf57e7f1b3f84eb09ba4e2
54300000.0,350100000.0,American Sniper,Clint Eastwood,36,1956100000.0,5cbf57e7f1b3f84eb09ba4e3
244400000.0,532200000.00000006,Rogue One,Gareth Edwards,3,733100000.0,5cbf57e7f1b3f84eb09ba4e4
1400000.0,3100000.0,Chloe,Atom Egoyan,5,6800000.0,5cbf57e7f1b3f84eb09ba4e5
36000.0,36000.0,Yardie,Idris Elba,1,36000.0,5cbf57e7f1b3f84eb09ba4e6
7600000.0,16500000.0,Eye of the Beholder,Stephan Elliot,4,30400000.0,5cbf57e7f1b3f84eb09ba4e7
38500000.0,66500000.0,The Final Destination,David R. Ellis,6,231100000.0,5cbf57e7f1b3f84eb09ba4e8
107700000.0,306200000.0,Independence Day,Roland Emmerich,12,1292200000.0,5cbf57e7f1b3f84eb09ba4e9
64400000.00000001,126800000.0,Sleepless in Seattle,Nora Ephron,8,515200000.00000006,5cbf57e7f1b3f84eb09ba4ea
28400000.0,83500000.0,I Can Only Imagine,Andrew Erwin,4,113700000.0,5cbf57e7f1b3f84eb09ba4eb
28400000.0,83500000.0,I Can Only Imagine,Jon Erwin,4,113700000.0,5cbf57e7f1b3f84eb09ba4ec
39500000.0,126400000.0,Safe House,Daniel Espinosa,4,158000000.0,5cbf57e7f1b3f84eb09ba4ed
334000.0,604000.0,Mean Creek,Jacob Aaron Estes,2,668000.0,5cbf57e7f1b3f84eb09ba4ee
24800000.0,28500000.0,Mr. Brooks,Bruce A. Evans,2,49700000.0,5cbf57e7f1b3f84eb09ba4ef
37200.0,37200.0,Before We Go,Chris Evans,1,37200.0,5cbf57e7f1b3f84eb09ba4f0
3400000.0,4099999.9999999995,The Raid: Redemption,Gareth Evans,2,6700000.0,5cbf57e7f1b3f84eb09ba4f1
2400000.0,2700000.0,The Good Lie,Philippe Falardeau,2,4700000.0,5cbf57e7f1b3f84eb09ba4f2
24200000.0,27400000.0,Brown Sugar,Rick Famuyiwa,3,72700000.0,5cbf57e7f1b3f84eb09ba4f3
25000000.0,59900000.0,Little Miss Sunshine,Valerie Faris,3,75100000.0,5cbf57e7f1b3f84eb09ba4f4
842000.0,842000.0,Higher Ground,Vera Farmiga,1,842000.0,5cbf57e7f1b3f84eb09ba4f5
66000000.0,176500000.0,Something About Mary,The Farrelly Bros.,12,792000000.0,5cbf57e7f1b3f84eb09ba4f6
166900000.0,364000000.0,The Jungle Book,Jon Favreau,8,1334900000.0,5cbf57e7f1b3f84eb09ba4f7
106300000.0,169100000.0,Bridesmaids,Paul Feig,6,638100000.0,5cbf57e7f1b3f84eb09ba4f8
57200000.0,64700000.0,Flushed Away,Sam Fell,3,171500000.0,5cbf57e7f1b3f84eb09ba4f9
924000.0,924000.0,Separate Lies,Julian Fellowes,1,924000.0,5cbf57e7f1b3f84eb09ba4fa
1900000.0,4300000.0,Inside Job,Charles Ferguson,3,5800000.0,5cbf57e7f1b3f84eb09ba4fb
14600000.0,23400000.0,Endless Love,Shana Feste,3,43800000.0,5cbf57e7f1b3f84eb09ba4fc
40800000.0,84400000.0,"Crazy, Stupid, Love.",Glenn Ficarra,4,163300000.0,5cbf57e7f1b3f84eb09ba4fd
60900000.0,90600000.0,The Game Plan,Andy Fickman,6,365600000.0,5cbf57e7f1b3f84eb09ba4fe
20700000.0,35900000.0,In the Bedroom,Todd Field,2,41400000.0,5cbf57e7f1b3f84eb09ba4ff
996000.0,1200000.0,The Invisible Woman,Ralph Fiennes,2,2000000.0,5cbf57e7f1b3f84eb09ba500
86500000.0,167800000.0,Gone Girl,David Fincher,10,865200000.0,5cbf57e7f1b3f84eb09ba501
36500000.0,50900000.0,Road to El Dorado,Will Finn,3,109400000.0,5cbf57e7f1b3f84eb09ba502
31400000.0,35100000.0,Ouija 2,Mike Flanagan,2,62800000.0,5cbf57e7f1b3f84eb09ba503
82100000.0,400000000.0,Captain Marvel,Ryan Fleck,5,410300000.0,5cbf57e7f1b3f84eb09ba504
93000000.0,213500000.0,Venom,Ruben Fleischer,4,372200000.0,5cbf57e7f1b3f84eb09ba505
15200000.0,25600000.0,Nancy Drew,Andrew Fleming,7,106600000.0,5cbf57e7f1b3f84eb09ba506
75600000.0,164000000.0,The Proposal,Anne Fletcher,5,377800000.0,5cbf57e7f1b3f84eb09ba507
17200.0,17200.0,Violet & Daisy,Geoffrey Fletcher,1,17200.0,5cbf57e7f1b3f84eb09ba508
4900000.0,5600000.0,Danny Collins,Dan Fogelman,2,9700000.0,5cbf57e7f1b3f84eb09ba509
25600000.0,114600000.0,Fifty Shades Darker,James Foley,13,333100000.0,5cbf57e7f1b3f84eb09ba50a
9900000.0,10700000.0,Nocturnal Animals,Tom Ford,2,19800000.0,5cbf57e7f1b3f84eb09ba50b
61400000.0,202400000.0,World War Z,Marc Forster,10,613700000.0,5cbf57e7f1b3f84eb09ba50c
21100000.0,41000000.0,Money Monster,Jodie Foster,4,84500000.0,5cbf57e7f1b3f84eb09ba50d
4200000.0,21100000.0,The Disaster Artist,James Franco,5,21200000.0,5cbf57e7f1b3f84eb09ba50e
